id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
41,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB","13-07-2021 11:00:00",OZONE,9,72,45,NA
42,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","13-07-2021 11:00:00",PM2.5,8,177,56,NA
43,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","13-07-2021 11:00:00",NO2,5,6,6,NA
44,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","13-07-2021 11:00:00",SO2,13,17,15,NA
45,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","13-07-2021 11:00:00",CO,33,60,51,NA
46,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","13-07-2021 11:00:00",OZONE,9,12,11,NA
47,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","13-07-2021 11:00:00",PM2.5,NA,NA,NA,NA
48,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","13-07-2021 11:00:00",PM10,NA,NA,NA,NA
49,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","13-07-2021 11:00:00",NO2,NA,NA,NA,NA
50,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","13-07-2021 11:00:00",NH3,NA,NA,NA,NA
51,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","13-07-2021 11:00:00",SO2,NA,NA,NA,NA
52,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","13-07-2021 11:00:00",CO,10,27,25,NA
53,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","13-07-2021 11:00:00",OZONE,3,167,7,NA
54,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","13-07-2021 11:00:00",PM2.5,31,65,47,NA
55,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","13-07-2021 11:00:00",PM10,45,70,57,NA
56,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","13-07-2021 11:00:00",NO2,9,9,9,NA
57,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","13-07-2021 11:00:00",NH3,4,4,4,NA
58,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","13-07-2021 11:00:00",SO2,4,118,10,NA
59,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","13-07-2021 11:00:00",CO,24,60,40,NA
60,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","13-07-2021 11:00:00",OZONE,10,84,48,NA
61,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","13-07-2021 11:00:00",PM2.5,15,66,39,NA
62,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","13-07-2021 11:00:00",PM10,20,54,39,NA
63,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","13-07-2021 11:00:00",NO2,8,12,10,NA
64,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","13-07-2021 11:00:00",NH3,4,4,4,NA
65,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","13-07-2021 11:00:00",SO2,3,6,4,NA
66,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","13-07-2021 11:00:00",CO,17,37,21,NA
67,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","13-07-2021 11:00:00",OZONE,11,33,25,NA
68,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","13-07-2021 11:00:00",PM2.5,27,66,48,NA
69,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","13-07-2021 11:00:00",NO2,2,12,4,NA
70,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","13-07-2021 11:00:00",SO2,3,13,8,NA
71,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","13-07-2021 11:00:00",CO,31,96,61,NA
72,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","13-07-2021 11:00:00",OZONE,7,16,14,NA
73,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","13-07-2021 11:00:00",PM2.5,14,35,23,NA
74,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","13-07-2021 11:00:00",PM10,13,51,38,NA
75,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","13-07-2021 11:00:00",NO2,3,34,10,NA
76,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","13-07-2021 11:00:00",NH3,2,2,2,NA
77,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","13-07-2021 11:00:00",SO2,4,4,4,NA
78,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","13-07-2021 11:00:00",CO,11,29,23,NA
79,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","13-07-2021 11:00:00",OZONE,9,41,21,NA
80,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","13-07-2021 11:00:00",PM2.5,5,69,46,NA
81,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","13-07-2021 11:00:00",PM10,32,61,50,NA
82,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","13-07-2021 11:00:00",NO2,9,20,14,NA
83,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","13-07-2021 11:00:00",NH3,NA,NA,NA,NA
84,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","13-07-2021 11:00:00",SO2,1,61,22,NA
85,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","13-07-2021 11:00:00",CO,15,44,31,NA
86,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","13-07-2021 11:00:00",OZONE,11,71,52,NA
87,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","13-07-2021 11:00:00",PM2.5,14,177,59,NA
88,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","13-07-2021 11:00:00",NO2,136,227,172,NA
89,India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","13-07-2021 11:00:00",CO,22,46,42,NA
90,India,Bihar,Patna,"Muradpur, Patna - BSPCB","13-07-2021 11:00:00",PM2.5,3,163,39,NA
91,India,Bihar,Patna,"Muradpur, Patna - BSPCB","13-07-2021 11:00:00",PM10,30,109,78,NA
92,India,Bihar,Patna,"Muradpur, Patna - BSPCB","13-07-2021 11:00:00",NO2,13,128,27,NA
93,India,Bihar,Patna,"Muradpur, Patna - BSPCB","13-07-2021 11:00:00",NH3,1,2,2,NA
94,India,Bihar,Patna,"Muradpur, Patna - BSPCB","13-07-2021 11:00:00",SO2,2,5,3,NA
95,India,Bihar,Patna,"Muradpur, Patna - BSPCB","13-07-2021 11:00:00",CO,52,79,67,NA
96,India,Bihar,Patna,"Muradpur, Patna - BSPCB","13-07-2021 11:00:00",OZONE,11,13,12,NA
97,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","13-07-2021 11:00:00",PM2.5,20,52,32,NA
98,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","13-07-2021 11:00:00",PM10,41,74,55,NA
99,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","13-07-2021 11:00:00",NO2,6,15,9,NA
100,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","13-07-2021 11:00:00",NH3,3,3,3,NA
101,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","13-07-2021 11:00:00",SO2,2,6,4,NA
102,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","13-07-2021 11:00:00",CO,11,61,32,NA
103,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","13-07-2021 11:00:00",OZONE,29,71,52,NA
104,India,Bihar,Patna,"Samanpura, Patna - BSPCB","13-07-2021 11:00:00",PM2.5,22,46,31,NA
105,India,Bihar,Patna,"Samanpura, Patna - BSPCB","13-07-2021 11:00:00",PM10,55,93,69,NA
106,India,Bihar,Patna,"Samanpura, Patna - BSPCB","13-07-2021 11:00:00",NO2,21,40,32,NA
107,India,Bihar,Patna,"Samanpura, Patna - BSPCB","13-07-2021 11:00:00",NH3,3,5,3,NA
108,India,Bihar,Patna,"Samanpura, Patna - BSPCB","13-07-2021 11:00:00",SO2,8,11,9,NA
109,India,Bihar,Patna,"Samanpura, Patna - BSPCB","13-07-2021 11:00:00",CO,14,28,24,NA
110,India,Bihar,Patna,"Samanpura, Patna - BSPCB","13-07-2021 11:00:00",OZONE,26,97,69,NA
111,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","13-07-2021 11:00:00",PM2.5,5,35,17,NA
112,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","13-07-2021 11:00:00",PM10,9,35,21,NA
113,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","13-07-2021 11:00:00",NO2,10,41,20,NA
114,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","13-07-2021 11:00:00",NH3,21,29,27,NA
115,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","13-07-2021 11:00:00",SO2,5,15,8,NA
116,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","13-07-2021 11:00:00",CO,20,38,27,NA
117,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","13-07-2021 11:00:00",OZONE,1,27,14,NA
118,India,Delhi,Delhi,"Alipur, Delhi - DPCC","13-07-2021 11:00:00",PM2.5,NA,NA,NA,NA
119,India,Delhi,Delhi,"Alipur, Delhi - DPCC","13-07-2021 11:00:00",PM10,NA,NA,NA,NA
120,India,Delhi,Delhi,"Alipur, Delhi - DPCC","13-07-2021 11:00:00",NO2,NA,NA,NA,NA
121,India,Delhi,Delhi,"Alipur, Delhi - DPCC","13-07-2021 11:00:00",NH3,NA,NA,NA,NA
122,India,Delhi,Delhi,"Alipur, Delhi - DPCC","13-07-2021 11:00:00",SO2,NA,NA,NA,NA
123,India,Delhi,Delhi,"Alipur, Delhi - DPCC","13-07-2021 11:00:00",CO,20,30,25,NA
124,India,Delhi,Delhi,"Alipur, Delhi - DPCC","13-07-2021 11:00:00",OZONE,3,8,5,NA
125,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","13-07-2021 11:00:00",PM2.5,NA,NA,NA,NA
126,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","13-07-2021 11:00:00",PM10,NA,NA,NA,NA
127,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","13-07-2021 11:00:00",NO2,NA,NA,NA,NA
128,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","13-07-2021 11:00:00",NH3,NA,NA,NA,NA
129,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","13-07-2021 11:00:00",SO2,NA,NA,NA,NA
130,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","13-07-2021 11:00:00",CO,15,112,81,NA
131,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","13-07-2021 11:00:00",OZONE,1,130,51,NA
132,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","13-07-2021 11:00:00",PM2.5,NA,NA,NA,NA
133,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","13-07-2021 11:00:00",PM10,NA,NA,NA,NA
134,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","13-07-2021 11:00:00",NO2,NA,NA,NA,NA
135,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","13-07-2021 11:00:00",NH3,NA,NA,NA,NA
136,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","13-07-2021 11:00:00",SO2,NA,NA,NA,NA
137,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","13-07-2021 11:00:00",CO,5,112,83,NA
138,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","13-07-2021 11:00:00",OZONE,9,27,18,NA
139,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","13-07-2021 11:00:00",PM2.5,2,87,35,NA
140,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","13-07-2021 11:00:00",PM10,6,64,37,NA
141,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","13-07-2021 11:00:00",NO2,6,12,8,NA
142,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","13-07-2021 11:00:00",CO,78,99,99,NA
143,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","13-07-2021 11:00:00",OZONE,9,16,16,NA
144,India,Delhi,Delhi,"Bawana, Delhi - DPCC","13-07-2021 11:00:00",PM2.5,NA,NA,NA,NA
145,India,Delhi,Delhi,"Bawana, Delhi - DPCC","13-07-2021 11:00:00",PM10,NA,NA,NA,NA
146,India,Delhi,Delhi,"Bawana, Delhi - DPCC","13-07-2021 11:00:00",NO2,NA,NA,NA,NA
147,India,Delhi,Delhi,"Bawana, Delhi - DPCC","13-07-2021 11:00:00",NH3,NA,NA,NA,NA
148,India,Delhi,Delhi,"Bawana, Delhi - DPCC","13-07-2021 11:00:00",SO2,NA,NA,NA,NA
149,India,Delhi,Delhi,"Bawana, Delhi - DPCC","13-07-2021 11:00:00",CO,12,97,48,NA
150,India,Delhi,Delhi,"Bawana, Delhi - DPCC","13-07-2021 11:00:00",OZONE,4,34,9,NA
151,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","13-07-2021 11:00:00",PM2.5,NA,NA,NA,NA
152,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","13-07-2021 11:00:00",PM10,NA,NA,NA,NA
153,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","13-07-2021 11:00:00",NO2,NA,NA,NA,NA
154,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","13-07-2021 11:00:00",CO,64,98,98,NA
155,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","13-07-2021 11:00:00",OZONE,13,43,37,NA
156,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","13-07-2021 11:00:00",PM2.5,15,91,43,NA
157,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","13-07-2021 11:00:00",PM10,31,420,219,NA
158,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","13-07-2021 11:00:00",NO2,12,27,19,NA
159,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","13-07-2021 11:00:00",NH3,4,12,6,NA
160,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","13-07-2021 11:00:00",SO2,2,8,5,NA
161,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","13-07-2021 11:00:00",CO,32,85,48,NA
162,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","13-07-2021 11:00:00",OZONE,5,33,28,NA
163,India,Delhi,Delhi,"DTU, Delhi - CPCB","13-07-2021 11:00:00",PM2.5,34,66,49,NA
164,India,Delhi,Delhi,"DTU, Delhi - CPCB","13-07-2021 11:00:00",PM10,4,102,46,NA
165,India,Delhi,Delhi,"DTU, Delhi - CPCB","13-07-2021 11:00:00",NO2,22,67,42,NA
166,India,Delhi,Delhi,"DTU, Delhi - CPCB","13-07-2021 11:00:00",NH3,10,24,17,NA
167,India,Delhi,Delhi,"DTU, Delhi - CPCB","13-07-2021 11:00:00",SO2,7,12,9,NA
168,India,Delhi,Delhi,"DTU, Delhi - CPCB","13-07-2021 11:00:00",CO,16,58,26,NA
169,India,Delhi,Delhi,"DTU, Delhi - CPCB","13-07-2021 11:00:00",OZONE,12,33,22,NA
170,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","13-07-2021 11:00:00",PM2.5,NA,NA,NA,NA
171,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","13-07-2021 11:00:00",PM10,NA,NA,NA,NA
172,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","13-07-2021 11:00:00",NO2,NA,NA,NA,NA
173,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","13-07-2021 11:00:00",NH3,NA,NA,NA,NA
174,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","13-07-2021 11:00:00",SO2,NA,NA,NA,NA
175,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","13-07-2021 11:00:00",CO,27,72,51,NA
176,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","13-07-2021 11:00:00",OZONE,4,49,24,NA
177,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","13-07-2021 11:00:00",PM2.5,NA,NA,NA,NA
178,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","13-07-2021 11:00:00",PM10,NA,NA,NA,NA
179,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","13-07-2021 11:00:00",NO2,NA,NA,NA,NA
180,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","13-07-2021 11:00:00",NH3,NA,NA,NA,NA
181,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","13-07-2021 11:00:00",SO2,NA,NA,NA,NA
182,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","13-07-2021 11:00:00",CO,15,63,36,NA
183,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","13-07-2021 11:00:00",OZONE,3,14,10,NA
184,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","13-07-2021 11:00:00",PM2.5,27,342,111,NA
185,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","13-07-2021 11:00:00",PM10,41,403,119,NA
186,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","13-07-2021 11:00:00",NO2,14,38,25,NA
187,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","13-07-2021 11:00:00",NH3,2,17,8,NA
188,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","13-07-2021 11:00:00",SO2,8,18,14,NA
189,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","13-07-2021 11:00:00",CO,8,61,24,NA
190,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","13-07-2021 11:00:00",OZONE,13,14,13,NA
191,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","13-07-2021 11:00:00",PM2.5,NA,NA,NA,NA
192,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","13-07-2021 11:00:00",PM10,NA,NA,NA,NA
193,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","13-07-2021 11:00:00",NO2,NA,NA,NA,NA
194,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","13-07-2021 11:00:00",NH3,NA,NA,NA,NA
195,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","13-07-2021 11:00:00",SO2,NA,NA,NA,NA
196,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","13-07-2021 11:00:00",CO,15,68,23,NA
197,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","13-07-2021 11:00:00",OZONE,2,5,4,NA
198,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","13-07-2021 11:00:00",PM2.5,NA,NA,NA,NA
199,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","13-07-2021 11:00:00",PM10,NA,NA,NA,NA
200,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","13-07-2021 11:00:00",NO2,NA,NA,NA,NA
201,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","13-07-2021 11:00:00",NH3,NA,NA,NA,NA
202,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","13-07-2021 11:00:00",SO2,NA,NA,NA,NA
203,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","13-07-2021 11:00:00",CO,50,90,67,NA
204,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","13-07-2021 11:00:00",OZONE,7,150,37,NA
205,India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","13-07-2021 11:00:00",PM2.5,16,351,53,NA
206,India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","13-07-2021 11:00:00",PM10,14,195,43,NA
207,India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","13-07-2021 11:00:00",NO2,20,68,28,NA
208,India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","13-07-2021 11:00:00",NH3,9,14,11,NA
209,India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","13-07-2021 11:00:00",SO2,2,4,3,NA
210,India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","13-07-2021 11:00:00",CO,40,46,43,NA
211,India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","13-07-2021 11:00:00",OZONE,11,15,12,NA
212,India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","13-07-2021 11:00:00",PM2.5,6,81,41,NA
213,India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","13-07-2021 11:00:00",PM10,12,108,60,NA
214,India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","13-07-2021 11:00:00",NO2,15,20,17,NA
215,India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","13-07-2021 11:00:00",CO,85,102,95,NA
216,India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","13-07-2021 11:00:00",OZONE,6,8,7,NA
217,India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","13-07-2021 11:00:00",PM2.5,NA,NA,NA,NA
218,India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","13-07-2021 11:00:00",PM10,NA,NA,NA,NA
219,India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","13-07-2021 11:00:00",NO2,NA,NA,NA,NA
